epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.774,0,9.37656,0,0,0,0,0,0,0,0,0.00333257,0.00333257,0.00333257
2,1120.82,0,0,0,0,0,0,0,0,0,0,0.00653392,0.00653392,0.00653392
3,1655.37,0,0,0,0,0,0,0,0,0,0,0.00960327,0.00960327,0.00960327
4,2196.63,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
5,2700.5,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
6,3335.25,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
7,3996.43,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
8,4676.85,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
9,5345.04,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
10,6058.29,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
11,6756.68,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
12,7376.53,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
13,8005.73,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
14,8648.8,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
15,9295.11,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
16,10016.2,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
17,10753.5,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
18,11473.2,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
19,12192.3,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
20,12928.1,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
21,13420.2,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
22,13773.7,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
23,14124.3,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
24,14474.6,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
25,14821.6,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
26,15167.8,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
27,15515.2,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
28,15858.9,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
29,16282,0,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
30,16680.2,0,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
31,17119.3,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
32,17763.9,0,0,0,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
33,18518.5,0,0,0,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
