epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.434,0,3.33813,0,0,0,0,0,0,0,0,0.00333295,0.00333295,0.00333295
2,1506.84,0,0,0,0,0,0,0,0,0,0,0.00600632,0.00600632,0.00600632
3,2169.52,0,0,0,0,0,0,0,0,0,0,0.00801969,0.00801969,0.00801969
4,2834.11,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
5,3511.9,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
6,4384.83,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
7,5211.23,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
8,6028.78,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
9,6915.34,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
10,7781.96,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
