epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,903.021,1.58926,1.5504,1.07693,0.44695,0.31184,0.31152,0.16645,1.45524,1.01061,1.00769,0.00333295,0.00333295,0.00333295
2,1702.08,1.52069,1.12047,1.0425,0.49443,0.35156,0.35892,0.19449,1.41185,0.92082,0.9973,0.00600632,0.00600632,0.00600632
3,2495.52,1.51925,1.04627,1.04584,0.51527,0.35515,0.36883,0.2002,1.39778,0.8913,0.9991,0.00801969,0.00801969,0.00801969
4,3296.63,1.49771,0.99894,1.04122,0.53693,0.37828,0.39717,0.21573,1.37099,0.85226,0.98856,0.00703,0.00703,0.00703
5,4099.69,1.45738,0.94474,1.02547,0.5533,0.39552,0.41768,0.22922,1.35046,0.82262,0.98011,0.00604,0.00604,0.00604
6,4865.74,1.42935,0.90952,1.01423,0.56216,0.40922,0.43327,0.23927,1.3356,0.80384,0.97566,0.00505,0.00505,0.00505
7,5684.47,1.40945,0.8836,1.00598,0.57423,0.41653,0.44288,0.24549,1.32713,0.7912,0.97104,0.00406,0.00406,0.00406
8,6529.06,1.39023,0.86113,0.99867,0.58494,0.41846,0.45065,0.25079,1.31963,0.78264,0.96741,0.00307,0.00307,0.00307
9,7367.45,1.37258,0.8393,0.99132,0.58899,0.4263,0.45708,0.2548,1.31458,0.77671,0.96486,0.00208,0.00208,0.00208
10,8221.7,1.35286,0.81687,0.98456,0.59505,0.42748,0.45996,0.25703,1.31144,0.77227,0.963,0.00109,0.00109,0.00109
