epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.777,1.5803,1.57253,1.07501,0.47409,0.31546,0.31422,0.16931,1.46348,1.02088,1.00573,0.00333257,0.00333257,0.00333257
2,1240.17,1.51217,1.121,1.03822,0.50349,0.34273,0.34834,0.1874,1.42323,0.9424,0.99963,0.00600598,0.00600598,0.00600598
3,1844.18,1.51557,1.04347,1.0445,0.48874,0.35618,0.3592,0.19301,1.41255,0.90843,1.00035,0.00801939,0.00801939,0.00801939
4,2471.38,1.49346,0.9924,1.03965,0.52743,0.37396,0.38944,0.21121,1.37832,0.86203,0.99166,0.00703,0.00703,0.00703
5,3082.01,1.45136,0.93767,1.02437,0.55463,0.38959,0.41518,0.22725,1.3542,0.82961,0.98203,0.00604,0.00604,0.00604
6,3688.61,1.42413,0.90263,1.01297,0.56715,0.40749,0.43379,0.23936,1.33722,0.80489,0.97476,0.00505,0.00505,0.00505
7,4302.94,1.4038,0.87672,1.00477,0.57504,0.41731,0.44576,0.24728,1.32574,0.78976,0.96958,0.00406,0.00406,0.00406
8,4934.29,1.38572,0.85472,0.99742,0.58034,0.41966,0.4537,0.25228,1.31689,0.78,0.96533,0.00307,0.00307,0.00307
9,5562.66,1.36893,0.83218,0.99092,0.59937,0.42033,0.46157,0.25679,1.31009,0.7719,0.96201,0.00208,0.00208,0.00208
10,6194.57,1.35039,0.81124,0.98405,0.59846,0.42936,0.46673,0.26038,1.30638,0.76674,0.96048,0.00109,0.00109,0.00109
